Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
8.9428,7.09869,203.949,23.26,180.69
8.94759,7.10322,209.717,23.26,186.46
8.95264,7.11236,201.072,23.26,177.81
0.00001,4.51415,517.892,16.57,501.32
0.00001,4.51412,481.385,16.57,464.81
8.95954,7.12329,209.771,23.26,186.51
8.96718,7.12992,223.676,23.26,200.41
8.98022,7.1411,246.234,23.26,222.97
8.98913,7.1453,255.016,23.26,231.76
8.94353,7.09088,200.004,23.25,176.75
8.94149,7.07637,202.228,23.24,178.99
8.95164,7.06465,208.692,23.22,185.47
8.96486,7.05904,198.377,23.22,175.16
8.97,7.05703,201.149,23.22,177.93
8.96704,7.06156,206.094,23.22,182.87
0.00001,4.51428,578.004,16.57,561.43
0.00901,4.51429,617.342,16.58,600.77
0.009,4.5143,532.558,16.58,515.98
0.00899,4.51431,491.33,16.58,474.75
0.00898,4.51432,425.644,16.58,409.07
0.00897,4.51434,418,16.58,401.42
0.00896,4.51436,428.825,16.58,412.25
0.00894,4.51437,355.864,16.58,339.29
0.00895,4.51436,416.959,16.58,400.38
0.00894,4.51436,390.478,16.58,373.9
0.00891,4.51435,427.951,16.58,411.38
0.0089,4.51434,452.195,16.58,435.62
0.00888,4.51434,483.68,16.58,467.1
0.00885,4.51434,615.926,16.58,599.35
0.00884,4.51434,361.068,16.58,344.49
0.00882,4.51433,509.774,16.58,493.2
0.0088,4.51433,324.577,16.58,308
0.00867,4.51433,285.702,16.58,269.13
0.00867,4.51431,371.271,16.58,354.7
0.00867,4.51428,451.174,16.58,434.6
8.69084,7.51328,739.876,23.58,716.3
0.00877,4.51433,301.423,16.58,284.85
0.00876,4.51431,501.823,16.58,485.25
0.00873,4.5143,559.72,16.58,543.14
0.00871,4.51429,431.408,16.58,414.83
0.00869,4.51429,352.167,16.58,335.59
0.00863,4.51428,421.003,16.58,404.43
0.0086,4.51426,547.193,16.58,530.62
0.0086,4.51423,504.58,16.58,488
0.00859,4.51421,695.608,16.58,679.03
0.00856,4.51418,406.716,16.58,390.14
0.00854,4.51417,233.124,16.58,216.55
0.00854,4.51415,313.253,16.58,296.68
0.00852,4.51414,217.932,16.58,201.36
0.00852,4.51413,204.478,16.58,187.9
0.00851,4.51412,260.311,16.58,243.74
0.0085,4.51411,249.768,16.58,233.19
0.00848,4.5141,226.807,16.58,210.23
0.00847,4.51409,300.402,16.58,283.83
0.00865,4.51428,417.643,16.58,401.07
0.00845,4.51406,431.848,16.58,415.27
0.00846,4.51404,197.866,16.58,181.29
0.00846,4.51402,252.249,16.58,235.67
0.00845,4.51398,236.167,16.58,219.59
0.00844,4.51396,263.347,16.58,246.77
0.00845,4.51395,283.263,16.58,266.69
0.00845,4.51395,283.679,16.58,267.1
0.00844,4.51394,282.749,16.58,266.17
0.00843,4.51393,269.068,16.58,252.49
0.00844,4.51392,233.099,16.58,216.52
0.00844,4.51391,215.607,16.58,199.03
0.00843,4.5139,213.41,16.58,196.83
0.00842,4.51389,172.812,16.58,156.24
0.00842,4.51387,264.39,16.58,247.81
0.00843,4.51385,267.72,16.58,251.14
0.00842,4.51382,271.66,16.58,255.08
0.00842,4.5138,246.48,16.58,229.9
0.00843,4.51377,213.53,16.58,196.95
0.00842,4.51376,207.9,16.58,191.32
0.00842,4.51373,195.815,16.58,179.24
0.00845,6.9657,168.396,16.09,152.31
0.00842,4.51367,189.696,16.58,173.12
0.00843,4.51365,183.133,16.58,166.56
0.00843,4.51364,182.004,16.58,165.43
0.00843,4.51363,180.83,16.58,164.25
0.00845,6.89037,187.766,16.64,171.12
0.00844,4.51362,156.782,16.58,140.21
0.00843,4.5136,159.026,16.58,142.45
0.00901,4.51433,499.006,16.58,482.43
0.00001,4.51433,537.358,16.57,520.79
0.00001,4.51434,469.218,16.57,452.65
0.00001,4.51434,807.728,16.57,791.16
0.00001,4.51435,825.688,16.57,809.12
